id,Title,Content,Excerpt,"Post Type",Permalink,"Image URL","Image Filename","Image Path","Image ID","Image Featured",Type,Status,Country,Features,Labels,State,City,Area,fave_property_size,fave_property_location,fave_additional_features_enable
425,"Gorgeous villa for sale","Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat. Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis at vero eros et accumsan et iusto odio dignissim qui blandit praesent luptatum zzril delenit augue duis dolore te feugait nulla facilisi.

Nam liber tempor cum soluta nobis eleifend option congue nihil imperdiet doming id quod mazim placerat facer possim assum. Typi non habent claritatem insitam; est usus legentis in iis qui facit eorum claritatem. Investigationes demonstraverunt lectores legere me lius quod ii legunt saepius. Claritas est etiam processus dynamicus, qui sequitur mutationem consuetudium lectorum. Mirum est notare quam littera gothica, quam nunc putamus parum claram, anteposuerit litterarum formas humanitatis per seacula quarta decima et quinta decima. Eodem modo typi, qui nunc nobis videntur parum clari, fiant sollemnes in futurum.",,property,https://blvdguide.com/property/gorgeous-villa-for-sale/,https://blvdguide.com/wp-content/uploads/2016/03/049.jpg,049.jpg,/home1/swaffilm/public_html/wp-content/uploads/2016/03/049.jpg,16114,https://blvdguide.com/wp-content/uploads/2016/03/049.jpg,,,"United States","Amenities>Air Conditioning|Amenities>Barbeque|Amenities>Dryer|Amenities>Gym|Amenities>Laundry|Amenities>Lawn|Amenities>Microwave|Amenities>Outdoor Shower|Amenities>Refrigerator|Amenities>Sauna|Amenities>Swimming Pool|Amenities>Washer|Amenities>WiFi",,California,,"Central City",5280|5280,"34.0004187,-118.26358010000001,14|34.0004187,-118.26358010000001,14",enable|enable
429,"Gorgeous villa bay view","Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat. Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis at vero eros et accumsan et iusto odio dignissim qui blandit praesent luptatum zzril delenit augue duis dolore te feugait nulla facilisi.

Nam liber tempor cum soluta nobis eleifend option congue nihil imperdiet doming id quod mazim placerat facer possim assum. Typi non habent claritatem insitam; est usus legentis in iis qui facit eorum claritatem. Investigationes demonstraverunt lectores legere me lius quod ii legunt saepius. Claritas est etiam processus dynamicus, qui sequitur mutationem consuetudium lectorum. Mirum est notare quam littera gothica, quam nunc putamus parum claram, anteposuerit litterarum formas humanitatis per seacula quarta decima et quinta decima. Eodem modo typi, qui nunc nobis videntur parum clari, fiant sollemnes in futurum.",,property,https://blvdguide.com/property/gorgeous-villa-bay-view/,https://blvdguide.com/wp-content/uploads/2016/03/021.jpg,021.jpg,/home1/swaffilm/public_html/wp-content/uploads/2016/03/021.jpg,16113,https://blvdguide.com/wp-content/uploads/2016/03/021.jpg,,,"United States","Amenities>Air Conditioning|Amenities>Barbeque|Amenities>Dryer|Amenities>Gym|Amenities>Laundry|Amenities>Lawn|Amenities>Microwave|Amenities>Outdoor Shower|Amenities>Refrigerator|Amenities>Sauna|Amenities>Swimming Pool|Amenities>Washer|Amenities>WiFi",,California,,"Central City",2150|2150,"33.99714,-118.26993199999998,14|33.99714,-118.26993199999998,14",enable|enable
432,"Comfortable Villa in Green","Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat. Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis at vero eros et accumsan et iusto odio dignissim qui blandit praesent luptatum zzril delenit augue duis dolore te feugait nulla facilisi.

Nam liber tempor cum soluta nobis eleifend option congue nihil imperdiet doming id quod mazim placerat facer possim assum. Typi non habent claritatem insitam; est usus legentis in iis qui facit eorum claritatem. Investigationes demonstraverunt lectores legere me lius quod ii legunt saepius. Claritas est etiam processus dynamicus, qui sequitur mutationem consuetudium lectorum. Mirum est notare quam littera gothica, quam nunc putamus parum claram, anteposuerit litterarum formas humanitatis per seacula quarta decima et quinta decima. Eodem modo typi, qui nunc nobis videntur parum clari, fiant sollemnes in futurum.",,property,https://blvdguide.com/property/comfortable-apartment-bay-view/,https://blvdguide.com/wp-content/uploads/2016/03/025.jpg,025.jpg,/home1/swaffilm/public_html/wp-content/uploads/2016/03/025.jpg,16125,https://blvdguide.com/wp-content/uploads/2016/03/025.jpg,,,"United States","Amenities>Air Conditioning|Amenities>Barbeque|Amenities>Dryer|Amenities>Laundry|Amenities>Lawn|Amenities>Outdoor Shower|Amenities>Sauna|Amenities>Swimming Pool|Amenities>Washer|Amenities>WiFi",,California,,Brookside,2180|2180,"34.034135,-118.391615,14|34.034135,-118.391615,14",enable|enable
437,"Renovated apartment at last floor","Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat. Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis at vero eros et accumsan et iusto odio dignissim qui blandit praesent luptatum zzril delenit augue duis dolore te feugait nulla facilisi.

Nam liber tempor cum soluta nobis eleifend option congue nihil imperdiet doming id quod mazim placerat facer possim assum. Typi non habent claritatem insitam; est usus legentis in iis qui facit eorum claritatem. Investigationes demonstraverunt lectores legere me lius quod ii legunt saepius. Claritas est etiam processus dynamicus, qui sequitur mutationem consuetudium lectorum. Mirum est notare quam littera gothica, quam nunc putamus parum claram, anteposuerit litterarum formas humanitatis per seacula quarta decima et quinta decima. Eodem modo typi, qui nunc nobis videntur parum clari, fiant sollemnes in futurum.",,property,https://blvdguide.com/property/amazing-family-home/,https://blvdguide.com/wp-content/uploads/2016/03/009.jpg,009.jpg,/home1/swaffilm/public_html/wp-content/uploads/2016/03/009.jpg,16149,https://blvdguide.com/wp-content/uploads/2016/03/009.jpg,,,"United States","Amenities>Air Conditioning|Amenities>Barbeque|Amenities>Dryer|Amenities>Gym|Amenities>Laundry|Amenities>Lawn|Amenities>Microwave|Amenities>Outdoor Shower|Amenities>Refrigerator|Amenities>Sauna|Amenities>Swimming Pool|Amenities>Washer|Amenities>WiFi",,California,,Brookside,1500|1500,"34.0246234,-118.4082375,14|34.0246234,-118.4082375,14",enable|enable
451,"New apartment","Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat. Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis at vero eros et accumsan et iusto odio dignissim qui blandit praesent luptatum zzril delenit augue duis dolore te feugait nulla facilisi.

Nam liber tempor cum soluta nobis eleifend option congue nihil imperdiet doming id quod mazim placerat facer possim assum. Typi non habent claritatem insitam; est usus legentis in iis qui facit eorum claritatem. Investigationes demonstraverunt lectores legere me lius quod ii legunt saepius. Claritas est etiam processus dynamicus, qui sequitur mutationem consuetudium lectorum. Mirum est notare quam littera gothica, quam nunc putamus parum claram, anteposuerit litterarum formas humanitatis per seacula quarta decima et quinta decima. Eodem modo typi, qui nunc nobis videntur parum clari, fiant sollemnes in futurum.",,property,https://blvdguide.com/property/ample-penthouse/,https://blvdguide.com/wp-content/uploads/2016/03/005.jpg,005.jpg,/home1/swaffilm/public_html/wp-content/uploads/2016/03/005.jpg,16146,https://blvdguide.com/wp-content/uploads/2016/03/005.jpg,,,"United States","Amenities>Air Conditioning|Amenities>Barbeque|Amenities>Dryer|Amenities>Gym|Amenities>Laundry|Amenities>Lawn|Amenities>Microwave|Amenities>Outdoor Shower|Amenities>Refrigerator|Amenities>Sauna|Amenities>Swimming Pool|Amenities>Washer|Amenities>WiFi",,California,,Brookside,2450|2450,"34.0291269,-118.4156987,14|34.0291269,-118.4156987,14",enable|enable
17917,"The BOTA House Garden","<p>Nestled in the serene suburbs of Spring Valley, The BOTA House Gardens provide the perfect backdrop for all your events. Be enchanted by an amazing outdoor space with unmatched ambience for all your corporate and social events. This  property is hired out exclusively for events and provides the perfect backdrop for both corporate functions and special celebrations.</p>
<p>All events at BOTA House are booked on an exclusive use basis, giving you access to the entire garden for the duration of your event. The garden can accommodate up to 150 pax.</p>
",,property,https://blvdguide.com/property/the-bota-house-gardens/,https://blvdguide.com/wp-content/uploads/2025/02/IMG_2958_11.jpg|https://blvdguide.com/wp-content/uploads/2025/02/PSX_20250221_182641.jpg|https://blvdguide.com/wp-content/uploads/2025/02/PSX_20250221_182653-1.jpg|https://blvdguide.com/wp-content/uploads/2025/02/IMG_2960_11.jpg|https://blvdguide.com/wp-content/uploads/2025/02/IMG_29721.jpg,IMG_2958_11.jpg|PSX_20250221_182641.jpg|PSX_20250221_182653-1.jpg|IMG_2960_11.jpg|IMG_29721.jpg,/home1/swaffilm/public_html/wp-content/uploads/2025/02/IMG_2958_11.jpg|/home1/swaffilm/public_html/wp-content/uploads/2025/02/PSX_20250221_182641.jpg|/home1/swaffilm/public_html/wp-content/uploads/2025/02/PSX_20250221_182653-1.jpg|/home1/swaffilm/public_html/wp-content/uploads/2025/02/IMG_2960_11.jpg|/home1/swaffilm/public_html/wp-content/uploads/2025/02/IMG_29721.jpg,17934|17915|17916|17932|17933,https://blvdguide.com/wp-content/uploads/2025/02/IMG_2958_11.jpg,Garden,Verified,,"Amenities>Backup Generator|Amenities>Barbeque|Events &amp; Experiences>Content Creation|Amenities>Cooking Area/Kitchen|Amenities>Electricity|Events &amp; Experiences>Launch|Amenities>Lawn|Events &amp; Experiences>Meeting|Amenities>Parking|Events &amp; Experiences>Photoshoot|Events &amp; Experiences>Pop-up|Amenities>Security|Amenities>Self Catering|Amenities>Waiting Suites|Amenities>Water|Amenities>WiFi|Events &amp; Experiences>Workshop",Outdoor,,,"Spring Valley",150,"41.1130231,-74.0437839",enable
17930,"Mburiria Smart Garden","<p>Located off Kiambu Road, the perfect eco-friendly venue;</p>
",,property,https://blvdguide.com/property/mburiria-smart-gardens/,https://blvdguide.com/wp-content/uploads/2025/02/8.jpg|https://blvdguide.com/wp-content/uploads/2025/02/2.jpg|https://blvdguide.com/wp-content/uploads/2025/02/4.jpg|https://blvdguide.com/wp-content/uploads/2025/02/5.jpg|https://blvdguide.com/wp-content/uploads/2025/02/6.jpg|https://blvdguide.com/wp-content/uploads/2025/02/7.jpg|https://blvdguide.com/wp-content/uploads/2025/02/9.jpg|https://blvdguide.com/wp-content/uploads/2025/02/10.jpg|https://blvdguide.com/wp-content/uploads/2025/02/11.jpg|https://blvdguide.com/wp-content/uploads/2025/02/13.jpg,8.jpg|2.jpg|4.jpg|5.jpg|6.jpg|7.jpg|9.jpg|10.jpg|11.jpg|13.jpg,/home1/swaffilm/public_html/wp-content/uploads/2025/02/8.jpg|/home1/swaffilm/public_html/wp-content/uploads/2025/02/2.jpg|/home1/swaffilm/public_html/wp-content/uploads/2025/02/4.jpg|/home1/swaffilm/public_html/wp-content/uploads/2025/02/5.jpg|/home1/swaffilm/public_html/wp-content/uploads/2025/02/6.jpg|/home1/swaffilm/public_html/wp-content/uploads/2025/02/7.jpg|/home1/swaffilm/public_html/wp-content/uploads/2025/02/9.jpg|/home1/swaffilm/public_html/wp-content/uploads/2025/02/10.jpg|/home1/swaffilm/public_html/wp-content/uploads/2025/02/11.jpg|/home1/swaffilm/public_html/wp-content/uploads/2025/02/13.jpg,17924|17919|17920|17921|17922|17923|17925|17926|17927|17928,https://blvdguide.com/wp-content/uploads/2025/02/8.jpg,Garden,,Kenya,"Events &amp; Experiences>Baby shower|Events &amp; Experiences>Birthday Party|Events &amp; Experiences>Bridal Shower|Amenities>Cooking Area/Kitchen|Events &amp; Experiences>Graduation Party|Amenities>Lawn|Amenities>Parking|Events &amp; Experiences>Photoshoot|Events &amp; Experiences>Picnic|Events &amp; Experiences>Reception|Amenities>Security|Amenities>Self Catering|Events &amp; Experiences>Team Building|Events &amp; Experiences>Videography|Amenities>Washroom",Outdoor,"Kiambu Town",Kiambu,"Kiambu Road",500,"'-1.152163,36.805548",enable
17939,"The BOTA House Meeting Room","<p>The BOTA House is a stunning venue nestled in Spring Valley, a picturesque 1-acre property in the most sought-after address in Nairobi. This  property is a members’ only co-working space that can be hired exclusively for meetings &amp; events and provides the perfect backdrop for both corporate functions and special celebrations.</p>
<p>All events at BOTA House are booked on an exclusive use basis, giving you access to the entire property for the duration of your meeting.  The meeting rooms are elegant architecturally designed indoor spaces featuring bespoke fittings and bold vibrant interiors and colors. Their customizable menu options showcase exceptional local produce and can be tailored to suit any meeting style. Choose from rustic grazing tables, substantial canapés, beautiful banquets, and alternate plated mains.</p>
",,property,https://blvdguide.com/property/the-bota-house-meeting-rooms/,https://blvdguide.com/wp-content/uploads/2025/02/IMG_29781.jpg|https://blvdguide.com/wp-content/uploads/2025/02/IMG_2975_11.jpg|https://blvdguide.com/wp-content/uploads/2025/02/IMG_29951.jpg|https://blvdguide.com/wp-content/uploads/2025/02/IMG_2992_11.jpg,IMG_29781.jpg|IMG_2975_11.jpg|IMG_29951.jpg|IMG_2992_11.jpg,/home1/swaffilm/public_html/wp-content/uploads/2025/02/IMG_29781.jpg|/home1/swaffilm/public_html/wp-content/uploads/2025/02/IMG_2975_11.jpg|/home1/swaffilm/public_html/wp-content/uploads/2025/02/IMG_29951.jpg|/home1/swaffilm/public_html/wp-content/uploads/2025/02/IMG_2992_11.jpg,17935|17936|17937|17938,https://blvdguide.com/wp-content/uploads/2025/02/IMG_29781.jpg,"Board Room|Meeting Room",Verified,Kenya,"Amenities>Backup Generator|Events &amp; Experiences>Conference|Amenities>Cooking Area/Kitchen|Amenities>Electricity|Amenities>In-house Catering|Amenities>Lawn|Events &amp; Experiences>Meeting|Amenities>Parking|Amenities>Security|Amenities>WiFi|Events &amp; Experiences>Workshop",Indoor,Nairobi,Nairobi,"Spring Valley",16,"'-1.2533393,36.7929369",enable
17946,"Rose Dale Garden","<p>Right at the heart of the city, find the perfect garden space to hold your events.</p>
",,property,https://blvdguide.com/property/rose-dale-gardens-2/,https://blvdguide.com/wp-content/uploads/2025/02/IMG-20230526-WA0024.jpg|https://blvdguide.com/wp-content/uploads/2025/02/IMG-20230526-WA0026.jpg|https://blvdguide.com/wp-content/uploads/2025/02/IMG-20230526-WA0025.jpg|https://blvdguide.com/wp-content/uploads/2025/02/Rose-Dale-Gardens.jpg,IMG-20230526-WA0024.jpg|IMG-20230526-WA0026.jpg|IMG-20230526-WA0025.jpg|Rose-Dale-Gardens.jpg,/home1/swaffilm/public_html/wp-content/uploads/2025/02/IMG-20230526-WA0024.jpg|/home1/swaffilm/public_html/wp-content/uploads/2025/02/IMG-20230526-WA0026.jpg|/home1/swaffilm/public_html/wp-content/uploads/2025/02/IMG-20230526-WA0025.jpg|/home1/swaffilm/public_html/wp-content/uploads/2025/02/Rose-Dale-Gardens.jpg,17942|17943|17944|17945,https://blvdguide.com/wp-content/uploads/2025/02/IMG-20230526-WA0024.jpg,Garden,,Kenya,"Events &amp; Experiences>Baby shower|Amenities>Backup Generator|Amenities>Barbeque|Events &amp; Experiences>Birthday Party|Events &amp; Experiences>Bridal Shower|Amenities>Cooking Area/Kitchen|Amenities>Electricity|Events &amp; Experiences>Graduation Party|Amenities>Lawn|Amenities>Parking|Events &amp; Experiences>Reception|Amenities>Security|Amenities>Self Catering|Events &amp; Experiences>Team Building|Amenities>Waiting Suites|Amenities>Water",Outdoor,,Nairobi,Kilimani,500,,enable
17956,"Samawi Terrace","<p>Samawi Terrace is a versatile and elegant venue ideal for hosting a wide range of events, including corporate meetings, social gatherings, intimate weddings, private dinners, product launches, and cultural celebrations. With modern amenities, customizable setups, and a picturesque ambiance, it offers the perfect setting for memorable occasions.</p>
<p>Samawi Terrace can accommodate up to 400 Pax.</p>
",,property,https://blvdguide.com/property/samawi-terrace/,https://blvdguide.com/wp-content/uploads/2025/02/1000278971.jpg|https://blvdguide.com/wp-content/uploads/2025/02/1000278973.jpg|https://blvdguide.com/wp-content/uploads/2025/02/1000278977.jpg|https://blvdguide.com/wp-content/uploads/2025/02/1000278981.jpg|https://blvdguide.com/wp-content/uploads/2025/02/1000278989.jpg,1000278971.jpg|1000278973.jpg|1000278977.jpg|1000278981.jpg|1000278989.jpg,/home1/swaffilm/public_html/wp-content/uploads/2025/02/1000278971.jpg|/home1/swaffilm/public_html/wp-content/uploads/2025/02/1000278973.jpg|/home1/swaffilm/public_html/wp-content/uploads/2025/02/1000278977.jpg|/home1/swaffilm/public_html/wp-content/uploads/2025/02/1000278981.jpg|/home1/swaffilm/public_html/wp-content/uploads/2025/02/1000278989.jpg,17951|17952|17953|17954|17955,https://blvdguide.com/wp-content/uploads/2025/02/1000278971.jpg,"Rooftop Terrace","Alcohol Free",Kenya,"Amenities>Air Conditioning|Events &amp; Experiences>Baby shower|Amenities>Backup Generator|Events &amp; Experiences>Birthday Party|Events &amp; Experiences>Concert|Amenities>Cooking Area/Kitchen|Events &amp; Experiences>Day Party|Amenities>Electricity|Events &amp; Experiences>Graduation Party|Events &amp; Experiences>Meeting|Events &amp; Experiences>Pop-up|Amenities>Self Catering|Amenities>Waiting Suites|Amenities>WiFi|Events &amp; Experiences>Workshop",Rooftop,,Nairobi,Karen,400,"'-1.3398665714194693,36.74241309649096",enable
